name,worldrank,country,birthyear,sex,title,img
"Carlsen, Magnus ",1,Norway,1990,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/3b0ddf4e-bd82-11e8-9421-af517c2ebfed.1e700464.160x160o.70a846b1599b.jpeg
"Caruana, Fabiano ",2,United States of America,1992,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/c66cb17a-c005-11e8-886b-692f3468f8e7.279d6d74.160x160o.b270e626c19e.jpeg
"Ding, Liren ",4,China,1992,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/00ffadde-d6a8-11e8-bdb9-933b839db343.31293b1e.160x160o.2cfcfcb37554.jpeg
"Vachier-Lagrave, Maxime ",5,France,1990,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/eb25fede-c007-11e8-b889-f36424f6d552.d8d2e08a.160x160o.4e5244a78e8c.jpeg
"Grischuk, Alexander ",7,Russia,1983,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/11a5e2b6-c005-11e8-8f74-894171089772.f48390da.160x160o.69cfb7dca9cb.jpeg
"Aronian, Levon ",8,Armenia,1982,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/4118050c-c004-11e8-bb10-a1a4e591dae7.1cb2c9a8.160x160o.d0079d7ad94e.jpeg
"Mamedyarov, Shakhriyar ",9,Azerbaijan,1985,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/49070142-c00d-11e8-9efd-03a2cb777504.37e12dda.160x160o.2bd731a16e78.jpeg
"Giri, Anish ",10,Netherlands,1994,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/93222764-bd80-11e8-b51a-fd14c22a36df.25c80564.160x160o.9b125fdf8092.jpeg
"Nepomniachtchi, Ian ",11,Russia,1990,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/cf02cd92-c0a0-11e8-b780-451d887b5ef3.22fa5145.160x160o.f7fd615244a2.jpeg
"Radjabov, Teimour ",12,Azerbaijan,1987,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/15dc583e-9d99-11e9-acb3-2943cca8973d.090601ab.160x160o.be6e59853024.jpeg
"So, Wesley ",13,United States of America,1993,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/d1da994a-c00b-11e8-ae3d-67e3121970db.0ffa8f0a.160x160o.7ed711a1126c.jpeg
"Duda, Jan-Krzysztof ",14,Poland,1998,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/ef746204-c008-11e8-9179-bfa729926b5d.8354d7d5.160x160o.e57c3082f0d7.jpeg
"Dominguez Perez, Leinier ",15,United States of America,1983,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/fb05b676-c0b3-11e8-a50f-dd344423a456.29deceb8.160x160o.341e8e4be786.jpeg
"Rapport, Richard ",16,Hungary,1996,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/5a58c516-9da7-11e9-99d4-9bc22a7718ac.841fea56.160x160o.a4e3522cbfb7.jpeg
"Anand, Viswanathan ",17,India,1969,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/3586d30a-bfe9-11e8-ab4c-1fb3088203eb.90d908d0.160x160o.e00ba39cb8dc.jpeg
"Wang, Hao ",18,China,1989,Male,Grandmaster,https://images.chesscomfiles.com/uploads/v1/master_player/85fbb342-c0a1-11e8-a12d-6f640d0548e8.9c8622b4.160x160o.ae9bd7c902a8.jpeg
