chessplayer_id,period,position
1,Top 100 Players December 2019,1
1,Top 100 Players November 2019,1
1,Top 100 Players October 2019,1
1,Top 100 Players September 2019,1
1,Top 100 Players August 2019,1
1,Top 100 Players July 2019,1
1,Top 100 Players June 2019,1
1,Top 100 Players May 2019,1
1,Top 100 Players April 2019,1
1,Top 100 Players March 2019,1
1,Top 100 Players February 2019,1
1,Top 100 Players January 2019,1
1,Top 100 Players December 2018,1
1,Top 100 Players November 2018,1
1,Top 100 Players October 2018,1
1,Top 100 Players September 2018,1
1,Top 100 Players August 2018,1
1,Top 100 Players July 2018,1
1,Top 100 Players June 2018,1
1,Top 100 Players May 2018,1
1,Top 100 Players April 2018,1
1,Top 100 Players March 2018,1
1,Top 100 Players February 2018,1
1,Top 100 Players January 2018,1
1,Top 100 Players December 2017,1
1,Top 100 Players November 2017,1
1,Top 100 Players October 2017,1
1,Top 100 Players September 2017,1
1,Top 100 Players August 2017,1
1,Top 100 Players July 2017,1
1,Top 100 Players June 2017,1
1,Top 100 Players May 2017,1
1,Top 100 Players April 2017,1
1,Top 100 Players March 2017,1
1,Top 100 Players February 2017,1
1,Top 100 Players January 2017,1
1,Top 100 Players December 2016,1
1,Top 100 Players November 2016,1
1,Top 100 Players October 2016,1
1,Top 100 Players September 2016,1
1,Top 100 Players August 2016,1
1,Top 100 Players July 2016,1
1,Top 100 Players June 2016,1
1,Top 100 Players May 2016,1
1,Top 100 Players April 2016,1
1,Top 100 Players March 2016,1
1,Top 100 Players February 2016,1
1,Top 100 Players January 2016,1
1,Top 100 Players December 2015,1
1,Top 100 Players November 2015,1
1,Top 100 Players October 2015,1
1,Top 100 Players September 2015,1
1,Top 100 Players August 2015,1
1,Top 100 Players July 2015,1
1,Top 100 Players June 2015,1
1,Top 100 Players May 2015,1
1,Top 100 Players April 2015,1
1,Top 100 Players March 2015,1
1,Top 100 Players February 2015,1
1,Top 100 Players January 2015,1
1,Top 100 Players December 2014,1
1,Top 100 Players November 2014,1
1,Top 100 Players October 2014,1
1,Top 100 Players September 2014,1
1,Top 100 Players August 2014,1
1,Top 100 Players July 2014,1
1,Top 100 Players June 2014,1
1,Top 100 Players May 2014,1
1,Top 100 Players April 2014,1
1,Top 100 Players March 2014,1
1,Top 100 Players February 2014,1
1,Top 100 Players January 2014,1
1,Top 100 Players December 2013,1
1,Top 100 Players November 2013,1
1,Top 100 Players October 2013,1
1,Top 100 Players September 2013,1
1,Top 100 Players August 2013,1
1,Top 100 Players July 2013,1
1,Top 100 Players June 2013,1
1,Top 100 Players May 2013,1
1,Top 100 Players April 2013,1
1,Top 100 Players March 2013,1
1,Top 100 Players February 2013,1
1,Top 100 Players January 2013,1
1,Top 100 Players December 2012,1
1,Top 100 Players November 2012,1
1,Top 100 Players October 2012,1
1,Top 100 Players September 2012,1
1,Top 100 Players August 2012,1
1,Top 100 Players July 2012,1
1,Top 100 Players May 2012,1
1,Top 100 Players March 2012,1
1,Top 100 Players January 2012,1
1,Top 100 Players November 2011,1
1,Top 100 Players September 2011,1
1,Top 100 Players July 2011,1
1,Top 100 Players May 2011,2
1,Top 100 Players March 2011,2
1,Top 100 Players January 2011,1
1,Top 100 Players November 2010,2
1,Top 20 Juniors November 2010,1
1,Top 100 Players September 2010,1
1,Top 20 Juniors September 2010,1
1,Top 100 Players July 2010,1
1,Top 20 Juniors July 2010,1
1,Top 100 Players May 2010,1
1,Top 20 Juniors May 2010,1
1,Top 100 Players March 2010,1
1,Top 20 Juniors March 2010,1
1,Top 100 Players January 2010,1
1,Top 20 Juniors January 2010,1
1,Top 100 Players November 2009,2
1,Top 20 Juniors November 2009,1
1,Top 100 Players September 2009,4
1,Top 20 Juniors September 2009,1
1,Top 100 Players July 2009,3
1,Top 20 Juniors July 2009,1
1,Top 100 Players April 2009,3
1,Top 20 Juniors April 2009,1
1,Top 100 Players January 2009,4
1,Top 20 Juniors January 2009,1
1,Top 100 Players October 2008,4
1,Top 20 Juniors October 2008,1
1,Top 100 Players July 2008,6
1,Top 20 Juniors July 2008,1
1,Top 20 Juniors April 2008,1
1,Top 100 Players April 2008,5
1,Top 100 Players January 2008,13
1,Top 20 Juniors January 2008,1
1,Top 100 Players October 2007,16
1,Top 20 Juniors October 2007,2
1,Top 100 Players July 2007,17
1,Top 20 Juniors July 2007,2
1,Top 100 Players April 2007,22
1,Top 20 Juniors April 2007,2
1,Top 100 Players January 2007,24
1,Top 20 Juniors January 2007,2
1,Top 100 Players October 2006,21
1,Top 20 Juniors October 2006,2
1,Top 100 Players July 2006,31
1,Top 20 Juniors July 2006,4
1,Top 100 Players April 2006,63
1,Top 20 Juniors April 2006,8
1,Top 100 Players January 2006,89
1,Top 20 Juniors January 2006,7
1,Top 20 Juniors October 2004,19
2,Top 100 Players December 2019,2
2,Top 100 Players November 2019,2
2,Top 100 Players October 2019,2
2,Top 100 Players September 2019,2
2,Top 100 Players August 2019,2
2,Top 100 Players July 2019,2
2,Top 100 Players June 2019,2
2,Top 100 Players May 2019,2
2,Top 100 Players April 2019,2
2,Top 100 Players March 2019,2
2,Top 100 Players February 2019,2
2,Top 100 Players January 2019,2
2,Top 100 Players December 2018,2
2,Top 100 Players November 2018,2
2,Top 100 Players October 2018,2
2,Top 100 Players September 2018,2
2,Top 100 Players August 2018,2
2,Top 100 Players July 2018,2
2,Top 100 Players June 2018,2
2,Top 100 Players May 2018,2
2,Top 100 Players April 2018,3
2,Top 100 Players March 2018,8
2,Top 100 Players February 2018,7
2,Top 100 Players January 2018,2
2,Top 100 Players December 2017,4
2,Top 100 Players November 2017,3
2,Top 100 Players October 2017,4
2,Top 100 Players September 2017,5
2,Top 100 Players August 2017,3
2,Top 100 Players July 2017,5
2,Top 100 Players June 2017,4
2,Top 100 Players May 2017,4
2,Top 100 Players April 2017,3
2,Top 100 Players March 2017,3
2,Top 100 Players February 2017,2
2,Top 100 Players January 2017,2
2,Top 100 Players December 2016,2
2,Top 100 Players November 2016,2
2,Top 100 Players October 2016,3
2,Top 100 Players September 2016,3
2,Top 100 Players August 2016,4
2,Top 100 Players July 2016,3
2,Top 100 Players June 2016,3
2,Top 100 Players May 2016,2
2,Top 100 Players April 2016,3
2,Top 100 Players March 2016,3
2,Top 100 Players February 2016,5
2,Top 100 Players January 2016,5
2,Top 100 Players December 2015,7
2,Top 100 Players November 2015,6
2,Top 100 Players October 2015,6
2,Top 100 Players September 2015,5
2,Top 100 Players August 2015,5
2,Top 100 Players July 2015,5
2,Top 100 Players June 2015,2
2,Top 100 Players May 2015,3
2,Top 100 Players April 2015,2
2,Top 100 Players March 2015,2
2,Top 100 Players February 2015,2
2,Top 100 Players January 2015,2
2,Top 100 Players December 2014,2
2,Top 100 Players November 2014,2
2,Top 100 Players October 2014,2
2,Top 100 Players September 2014,3
2,Top 100 Players August 2014,3
2,Top 100 Players July 2014,4
2,Top 100 Players June 2014,4
2,Top 100 Players May 2014,5
2,Top 100 Players April 2014,5
2,Top 100 Players March 2014,5
2,Top 100 Players February 2014,5
2,Top 100 Players January 2014,6
2,Top 100 Players December 2013,7
2,Top 100 Players November 2013,6
2,Top 100 Players October 2013,6
2,Top 100 Players September 2013,5
2,Top 100 Players August 2013,3
2,Top 100 Players July 2013,3
2,Top 100 Players June 2013,9
2,Top 100 Players May 2013,8
2,Top 100 Players April 2013,7
2,Top 100 Players March 2013,11
2,Top 100 Players February 2013,13
2,Top 100 Players January 2013,5
2,Top 100 Players December 2012,5
2,Top 100 Juniors December 2012,1
2,Top 100 Players November 2012,5
2,Top 100 Juniors November 2012,1
2,Top 100 Players October 2012,8
2,Top 100 Juniors October 2012,1
2,Top 100 Players September 2012,8
2,Top 100 Juniors September 2012,1
2,Top 100 Players August 2012,8
2,Top 100 Juniors August 2012,1
2,Top 100 Players July 2012,8
2,Top 20 Juniors July 2012,1
2,Top 100 Players May 2012,8
2,Top 20 Juniors May 2012,1
2,Top 100 Players March 2012,7
2,Top 20 Juniors March 2012,1
2,Top 100 Players January 2012,17
2,Top 20 Juniors January 2012,1
2,Top 100 Players November 2011,23
2,Top 20 Juniors November 2011,1
2,Top 100 Players September 2011,32
2,Top 20 Juniors September 2011,3
2,Top 100 Players July 2011,32
2,Top 20 Juniors July 2011,2
2,Top 100 Players May 2011,28
2,Top 20 Juniors May 2011,1
2,Top 100 Players March 2011,28
2,Top 20 Juniors March 2011,1
2,Top 100 Players January 2011,25
2,Top 20 Juniors January 2011,1
2,Top 100 Players November 2010,31
2,Top 20 Juniors November 2010,4
2,Top 100 Players September 2010,37
2,Top 20 Juniors September 2010,5
2,Top 100 Players July 2010,39
2,Top 20 Juniors July 2010,5
2,Top 100 Players May 2010,57
2,Top 20 Juniors May 2010,6
2,Top 100 Players March 2010,52
2,Top 20 Juniors March 2010,5
2,Top 100 Players January 2010,51
2,Top 20 Juniors January 2010,4
2,Top 100 Players November 2009,81
2,Top 20 Juniors November 2009,5
2,Top 100 Players September 2009,71
2,Top 20 Juniors September 2009,5
2,Top 100 Players July 2009,59
2,Top 20 Juniors July 2009,5
2,Top 100 Players April 2009,78
2,Top 20 Juniors April 2009,5
2,Top 100 Players January 2009,84
2,Top 20 Juniors January 2009,6
2,Top 100 Players October 2008,87
2,Top 20 Juniors October 2008,5
2,Top 20 Juniors July 2008,5
2,Top 20 Juniors April 2008,7
2,Top 20 Juniors January 2008,8
2,Top 20 Juniors October 2007,16
3,Top 100 Players December 2019,3
3,Top 100 Players November 2019,3
3,Top 100 Players October 2019,3
3,Top 100 Players September 2019,3
3,Top 100 Players August 2019,3
3,Top 100 Players July 2019,3
3,Top 100 Players June 2019,3
3,Top 100 Players May 2019,3
3,Top 100 Players April 2019,3
3,Top 100 Players March 2019,3
3,Top 100 Players February 2019,3
3,Top 100 Players January 2019,4
3,Top 100 Players December 2018,4
3,Top 100 Players November 2018,4
3,Top 100 Players October 2018,4
3,Top 100 Players September 2018,4
3,Top 100 Players August 2018,4
3,Top 100 Players July 2018,4
3,Top 100 Players June 2018,4
3,Top 100 Players May 2018,5
3,Top 100 Players April 2018,8
3,Top 100 Players March 2018,11
3,Top 100 Players February 2018,11
3,Top 100 Players January 2018,9
3,Top 100 Players December 2017,10
3,Top 100 Players November 2017,11
3,Top 100 Players October 2017,11
3,Top 100 Players September 2017,13
3,Top 100 Players August 2017,11
3,Top 100 Players July 2017,10
3,Top 100 Players June 2017,10
3,Top 100 Players May 2017,11
3,Top 100 Players April 2017,13
3,Top 100 Players March 2017,13
3,Top 100 Players February 2017,12
3,Top 100 Players January 2017,14
3,Top 100 Players December 2016,16
3,Top 100 Players November 2016,13
3,Top 100 Players October 2016,10
3,Top 100 Players September 2016,14
3,Top 100 Players August 2016,13
3,Top 100 Players July 2016,8
3,Top 100 Players June 2016,7
3,Top 100 Players May 2016,9
3,Top 100 Players April 2016,9
3,Top 100 Players March 2016,9
3,Top 100 Players February 2016,12
3,Top 100 Players January 2016,12
3,Top 100 Players December 2015,9
3,Top 100 Players November 2015,8
3,Top 100 Players October 2015,8
3,Top 100 Players September 2015,7
3,Top 100 Players August 2015,10
3,Top 100 Players July 2015,14
3,Top 100 Players June 2015,15
3,Top 100 Players May 2015,11
3,Top 100 Players April 2015,14
3,Top 100 Players March 2015,14
3,Top 100 Players February 2015,14
3,Top 100 Players January 2015,22
3,Top 100 Players December 2014,23
3,Top 100 Players November 2014,22
3,Top 100 Players October 2014,22
3,Top 100 Players September 2014,15
3,Top 100 Players August 2014,19
3,Top 100 Players July 2014,26
3,Top 100 Players June 2014,34
3,Top 100 Players May 2014,31
3,Top 100 Players April 2014,36
3,Top 100 Players March 2014,29
3,Top 100 Players February 2014,29
3,Top 100 Players January 2014,31
3,Top 100 Players December 2013,38
3,Top 100 Players November 2013,35
3,Top 100 Players October 2013,28
3,Top 100 Players September 2013,25
3,Top 100 Players August 2013,28
3,Top 100 Players July 2013,30
3,Top 100 Players June 2013,46
3,Top 100 Players May 2013,37
3,Top 100 Players April 2013,34
3,Top 100 Players March 2013,35
3,Top 100 Players February 2013,35
3,Top 100 Players January 2013,33
3,Top 100 Players December 2012,45
3,Top 100 Juniors December 2012,3
3,Top 100 Players November 2012,47
3,Top 100 Juniors November 2012,3
3,Top 100 Players October 2012,48
3,Top 100 Juniors October 2012,3
3,Top 100 Players September 2012,52
3,Top 100 Juniors September 2012,3
3,Top 100 Players August 2012,49
3,Top 100 Juniors August 2012,3
3,Top 100 Players July 2012,68
3,Top 20 Juniors July 2012,3
3,Top 100 Players May 2012,70
3,Top 20 Juniors May 2012,3
3,Top 100 Players March 2012,88
3,Top 20 Juniors March 2012,3
3,Top 100 Players January 2012,87
3,Top 20 Juniors January 2012,3
3,Top 100 Players November 2011,88
3,Top 20 Juniors November 2011,4
3,Top 100 Players September 2011,87
3,Top 20 Juniors September 2011,5
3,Top 100 Players July 2011,94
3,Top 20 Juniors July 2011,7
3,Top 100 Players May 2011,78
3,Top 20 Juniors May 2011,5
3,Top 20 Juniors March 2011,8
3,Top 20 Juniors January 2011,8
4,Top 100 Players December 2019,4
4,Top 100 Players November 2019,4
4,Top 100 Players October 2019,6
4,Top 100 Players September 2019,6
4,Top 100 Players August 2019,5
4,Top 100 Players July 2019,5
4,Top 100 Players June 2019,4
4,Top 100 Players May 2019,6
4,Top 100 Players April 2019,8
4,Top 100 Players March 2019,7
4,Top 100 Players February 2019,6
4,Top 100 Players January 2019,6
4,Top 100 Players December 2018,6
4,Top 100 Players November 2018,6
4,Top 100 Players October 2018,7
4,Top 100 Players September 2018,5
4,Top 100 Players August 2018,8
4,Top 100 Players July 2018,8
4,Top 100 Players June 2018,6
4,Top 100 Players May 2018,6
4,Top 100 Players April 2018,5
4,Top 100 Players March 2018,6
4,Top 100 Players February 2018,6
4,Top 100 Players January 2018,5
4,Top 100 Players December 2017,5
4,Top 100 Players November 2017,5
4,Top 100 Players October 2017,3
4,Top 100 Players September 2017,2
4,Top 100 Players August 2017,8
4,Top 100 Players July 2017,8
4,Top 100 Players June 2017,6
4,Top 100 Players May 2017,5
4,Top 100 Players April 2017,5
4,Top 100 Players March 2017,5
4,Top 100 Players February 2017,5
4,Top 100 Players January 2017,5
4,Top 100 Players December 2016,4
4,Top 100 Players November 2016,3
4,Top 100 Players October 2016,4
4,Top 100 Players September 2016,2
4,Top 100 Players August 2016,2
4,Top 100 Players July 2016,4
4,Top 100 Players June 2016,5
4,Top 100 Players May 2016,5
4,Top 100 Players April 2016,5
4,Top 100 Players March 2016,5
4,Top 100 Players February 2016,7
4,Top 100 Players January 2016,7
4,Top 100 Players December 2015,11
4,Top 100 Players November 2015,12
4,Top 100 Players October 2015,13
4,Top 100 Players September 2015,16
4,Top 100 Players August 2015,24
4,Top 100 Players July 2015,26
4,Top 100 Players June 2015,28
4,Top 100 Players May 2015,12
4,Top 100 Players April 2015,11
4,Top 100 Players March 2015,11
4,Top 100 Players February 2015,11
4,Top 100 Players January 2015,13
4,Top 100 Players December 2014,13
4,Top 100 Players November 2014,14
4,Top 100 Players October 2014,13
4,Top 100 Players September 2014,9
4,Top 100 Players August 2014,9
4,Top 100 Players July 2014,10
4,Top 100 Players June 2014,10
4,Top 100 Players May 2014,12
4,Top 100 Players April 2014,11
4,Top 100 Players March 2014,10
4,Top 100 Players February 2014,16
4,Top 100 Players January 2014,15
4,Top 100 Players December 2013,15
4,Top 100 Players November 2013,16
4,Top 100 Players October 2013,16
4,Top 100 Players September 2013,26
4,Top 100 Players August 2013,27
4,Top 100 Players July 2013,26
4,Top 100 Players June 2013,41
4,Top 100 Players May 2013,27
4,Top 100 Players April 2013,26
4,Top 100 Players March 2013,27
4,Top 100 Players February 2013,30
4,Top 100 Players January 2013,30
4,Top 100 Players December 2012,31
4,Top 100 Players November 2012,30
4,Top 100 Players October 2012,41
4,Top 100 Players September 2012,50
4,Top 100 Players August 2012,61
4,Top 100 Players July 2012,60
4,Top 100 Players May 2012,69
4,Top 100 Players March 2012,67
4,Top 100 Players January 2012,45
4,Top 100 Players November 2011,37
4,Top 100 Players September 2011,29
4,Top 100 Players July 2011,22
4,Top 100 Players May 2011,20
4,Top 100 Players March 2011,19
4,Top 100 Players January 2011,31
4,Top 100 Players November 2010,36
4,Top 20 Juniors November 2010,5
4,Top 100 Players September 2010,25
4,Top 20 Juniors September 2010,3
4,Top 100 Players July 2010,22
4,Top 20 Juniors July 2010,3
4,Top 100 Players May 2010,30
4,Top 20 Juniors May 2010,3
4,Top 100 Players March 2010,19
4,Top 20 Juniors March 2010,2
4,Top 100 Players January 2010,18
4,Top 20 Juniors January 2010,2
4,Top 100 Players November 2009,23
4,Top 20 Juniors November 2009,3
4,Top 100 Players September 2009,23
4,Top 20 Juniors September 2009,3
4,Top 100 Players July 2009,29
4,Top 20 Juniors July 2009,3
4,Top 100 Players April 2009,47
4,Top 20 Juniors April 2009,4
4,Top 100 Players January 2009,33
4,Top 20 Juniors January 2009,3
4,Top 100 Players October 2008,24
4,Top 20 Juniors October 2008,3
4,Top 100 Players July 2008,39
4,Top 20 Juniors July 2008,4
4,Top 20 Juniors April 2008,5
4,Top 100 Players January 2008,85
4,Top 100 Players April 2008,91
4,Top 20 Juniors January 2008,4
4,Top 100 Players October 2007,91
4,Top 20 Juniors October 2007,11
4,Top 20 Juniors July 2007,13
4,Top 20 Juniors April 2007,14
4,Top 20 Juniors January 2007,17
4,Top 20 Juniors July 2006,19
4,Top 20 Juniors April 2006,17
5,Top 100 Players December 2019,5
5,Top 100 Players November 2019,10
5,Top 100 Players October 2019,13
5,Top 100 Players September 2019,13
5,Top 100 Players August 2019,11
5,Top 100 Players July 2019,7
5,Top 100 Players June 2019,6
5,Top 100 Players May 2019,9
5,Top 100 Players April 2019,9
5,Top 100 Players March 2019,8
5,Top 100 Players February 2019,9
5,Top 100 Players January 2019,9
5,Top 100 Players December 2018,9
5,Top 100 Players November 2018,9
5,Top 100 Players October 2018,11
5,Top 100 Players September 2018,11
5,Top 100 Players August 2018,14
5,Top 100 Players July 2018,13
5,Top 100 Players June 2018,11
5,Top 100 Players May 2018,11
5,Top 100 Players April 2018,13
5,Top 100 Players March 2018,12
5,Top 100 Players February 2018,12
5,Top 100 Players January 2018,12
5,Top 100 Players December 2017,11
5,Top 100 Players November 2017,9
5,Top 100 Players October 2017,8
5,Top 100 Players September 2017,9
5,Top 100 Players August 2017,9
5,Top 100 Players July 2017,13
5,Top 100 Players June 2017,13
5,Top 100 Players May 2017,17
5,Top 100 Players April 2017,18
5,Top 100 Players March 2017,17
5,Top 100 Players February 2017,20
5,Top 100 Players January 2017,20
5,Top 100 Players December 2016,23
5,Top 100 Players November 2016,18
5,Top 100 Players October 2016,15
5,Top 100 Players September 2016,13
5,Top 100 Players August 2016,14
5,Top 100 Players July 2016,18
5,Top 100 Players June 2016,17
5,Top 100 Players May 2016,17
5,Top 100 Players April 2016,17
5,Top 100 Players March 2016,17
5,Top 100 Players February 2016,15
5,Top 100 Players January 2016,15
5,Top 100 Players December 2015,17
